Lead	City	Current Category	Make	Model	Variant	Make Year	Fuel Type	Transmission Type	Mileage	Ownership	Procurement Price
15928651	Delhi	auction	Honda	City	V Diesel	2014	diesel	manual	168339	1	205500
21551516	Mumbai	auction	Honda	City	SV Diesel	2015	diesel	manual	84791	2	365000
25109378	Mumbai	budget	Maruti Suzuki	Ertiga	VXI AT	2016	petrol	automatic	60104	2	465000
10147304	Lucknow	auction	Volkswagen	Ameo	Comfortline 1.5L (D)	2018	diesel	manual	41730	2	440000
21359863	Chennai	assured	Kia	Seltos	HTX D	2022	diesel	manual	76096	1	1071000
21159955	Jaipur	assured	Maruti Suzuki	Baleno	Zeta 1.2 AT	2017	petrol	automatic	56173	1	440000
24961638	Mumbai	assured	Nissan	Magnite	XL	2021	petrol	manual	55588	1	370000
25022773	Chennai	assured	Honda	Amaze	1.2 VX i-VTEC	2015	petrol	manual	80043	1	330000
24855627	Delhi	assured	Hyundai	Venue	SX 1.2 Petrol	2023	petrol	manual	44454	1	695000
24935460	Lucknow	assured	MG Motors	Hector	Sharp 2.0 Diesel Turbo MT Dual Tone	2022	diesel	manual	74852	1	1006000
24770103	Lucknow	budget	Maruti Suzuki	Alto 800	LXi	2020	petrol	manual	21118	2	205000
24642021	Delhi	budget	Hyundai	Venue	SX 1.0 Turbo Petrol	2019	petrol	manual	81572	1	440000
24818430	Chennai	budget	Honda	City	SV	2016	petrol	manual	51629	1	410000
24843987	Hyderabad	assured	Hyundai	Alcazar	Platinum (O) 6 STR 1.5 Diesel AT	2021	diesel	automatic	67526	1	1245000
24652190	Delhi	assured	Maruti Suzuki	Wagon R	LXI	2015	petrol	manual	45338	1	174000
25010119	Chennai	budget	Maruti Suzuki	Celerio	ZXi AMT	2016	petrol	automatic	45908	1	350000
24645378	Bangalore	assured	Renault	Kwid	RXL	2016	petrol	manual	45907	2	195000
24657515	Hyderabad	assured	Maruti Suzuki	Baleno	Alpha 1.2	2017	petrol	manual	58989	1	435000
24724930	Visakhapatnam	assured	Maruti Suzuki	Alto 800	LXi	2018	petrol	manual	73107	2	185000
22396323	Chennai	assured	Mahindra	Thar	LX Hard Top Petrol MT 4WD	2022	petrol	manual	23386	1	1124000
22581374	Chandigarh	assured	Kia	Sonet	HTX Plus 1.0 iMT	2020	petrol	manual	53744	1	630000
25104731	Bangalore	assured	Hyundai	Elite i20	Magna 1.2	2016	petrol	manual	31359	1	430000
23445729	Jaipur	luxury	Jaguar	XE	Pure	2018	petrol	automatic	61046	2	1550000
23960078	Hyderabad	budget	Kia	Seltos	GTX Plus DCT 1.4	2020	petrol	automatic	90630	2	940000
24160121	Chennai	assured	Maruti Suzuki	Alto K10	VXI AMT (O)	2018	petrol	automatic	73151	1	260000
20997723	Pune	assured	Skoda	Superb	Style TDI AT	2019	diesel	automatic	63618	1	1441000
20410212	Hyderabad	assured	Toyota	Urban Cruiser Hyryder	G E-CNG	2023	petrol+cng	manual	8596	1	1395000
23932828	Delhi	assured	Hyundai	Grand i10 Nios	Sportz 1.2 Kappa VTVT	2023	petrol	manual	28535	1	500000
23832188	Hyderabad	budget	Maruti Suzuki	Swift	ZXi Plus AMT	2021	petrol	automatic	95587	1	565000
23958989	Chennai	budget	Maruti Suzuki	Alto 800	Lxi	2014	petrol	manual	101012	3	167000
22648847	Lucknow	assured	Maruti Suzuki	Ignis	Delta 1.2 MT	2021	petrol	manual	45347	1	410000
23156172	Lucknow	assured	Maruti Suzuki	Baleno	Alpha MT	2024	petrol	manual	26581	1	750000
19350481	Delhi	budget	Honda	City	VX CVT	2014	petrol	automatic	91711	1	384000
23200756	Visakhapatnam	budget	Tata	Nexon	XM Diesel	2018	diesel	manual	95821	1	500000
23017956	Ahmedabad	assured	Maruti Suzuki	Baleno	Zeta	2020	petrol	manual	50130	1	490000
23131071	Bangalore	assured	Nissan	Magnite	XV Turbo	2022	petrol	manual	34182	1	676000
23260884	Ahmedabad	budget	Kia	Seltos	HTX Plus AT 1.5 Diesel	2019	diesel	automatic	103016	1	945000
22895769	Mumbai	budget	Renault	Kwid	RXT (O) 1.0 SCE Edition	2018	petrol	manual	45180	3	157000
22805409	Pune	assured	Maruti Suzuki	Ciaz	Alpha 1.4 AT	2017	petrol	automatic	72392	1	520000
22420941	Coimbatore	auction	Honda	City	SV Petrol MT	2023	petrol	manual	8154	1	1
20078562	Kolkata	assured	Maruti Suzuki	Baleno	Alpha Petrol	2023	petrol	manual	18054	1	700000
20066449	Delhi	assured	Tata	Nexon	XM	2019	petrol	manual	63669	1	440000
21937637	Delhi	assured	Maruti Suzuki	Swift	LXI (O)	2015	petrol	manual	57584	1	245000
24265915	Mumbai	budget	Maruti Suzuki	Baleno	RS 1.0	2017	petrol	manual	48591	1	383000
11920311	Bangalore	auction	Mahindra	XUV 300	W8 AMT (O) Diesel	2019	diesel	automatic	70204	1	744000
24261307	Delhi	luxury	Jeep	Compass	Sport 1.4 Petrol	2018	petrol	manual	58292	1	655000
24567140	Coimbatore	budget	Hyundai	Grand i10	Asta 1.2 Kappa VTVT	2018	petrol	manual	106919	1	336000
24403506	Pune	budget	Tata	Tiago	Revotron XZ	2016	petrol	manual	44564	1	300000
24600243	Hyderabad	budget	Tata	Tiago	Wizz Edition Petrol	2018	petrol	manual	58810	1	301000
23905456	Hyderabad	assured	Maruti Suzuki	Baleno	Delta 1.2 AT	2016	petrol	automatic	29378	1	420000
23999592	Mumbai	budget	Tata	Tiago	XT	2022	petrol	manual	60996	1	358000
24130626	Delhi	assured	Hyundai	Grand i10	Sportz 1.2 Kappa VTVT	2018	petrol	manual	46885	1	315000
24175816	Visakhapatnam	assured	Toyota	Glanza	V	2021	petrol	manual	45225	1	545000
21549640	Lucknow	assured	Hyundai	Grand i10 Nios	Sportz AMT 1.2 Kappa VTVT	2023	petrol	automatic	24611	1	590000
24946448	Bangalore	assured	Tata	Nexon	XZA Plus Dual Tone Roof AMT Petrol	2018	petrol	automatic	31676	1	625000
23168856	Ahmedabad	assured	Skoda	Kushaq	Style 1.0L TSI AT	2021	petrol	automatic	18023	1	1000000
23248773	Bangalore	budget	Volkswagen	Vento	Highline Petrol	2013	petrol	manual	116818	1	315000
23091523	Hyderabad	budget	Tata	Altroz	XT i-Turbo Petrol	2021	petrol	manual	42772	2	520000
23282962	Lucknow	assured	Hyundai	Creta	S Plus 1.5 Petrol Knight	2023	petrol	manual	47480	1	955000
20981290	Delhi	assured	Honda	Amaze	VX MT 1.2 Petrol	2022	petrol	manual	26865	1	595000
20259305	Delhi	assured	Honda	Amaze	1.2 S i-VTEC	2015	petrol	manual	74064	1	240000
22375514	Jaipur	assured	Honda	City	VX CVT	2014	petrol	automatic	63494	1	400000
22820405	Hyderabad	assured	Ford	Figo Aspire	Titanium 1.5 Ti-VCT AT	2017	petrol	automatic	71019	1	366000
21283725	Pune	budget	Ford	Figo	Titanium1.5 TDCi	2019	diesel	manual	121883	1	371500
24565389	Bangalore	assured	Hyundai	Grand i10	Sportz 1.2 Kappa VTVT	2019	petrol	manual	3105	1	410000
24344130	Lucknow	assured	Maruti Suzuki	S-Cross	Zeta	2022	petrol	manual	26259	1	655000
24241802	Mumbai	budget	Volkswagen	Polo	Highline1.2L (P)	2012	petrol	manual	101130	2	161000
24306109	Pune	assured	Kia	Sonet	Anniversary Edition 1.0 iMT	2022	petrol	manual	4637	1	792000
24507369	Delhi	assured	Maruti Suzuki	Baleno	Delta 1.2	2019	petrol	manual	22219	1	390000
18017181	Delhi	budget	Maruti Suzuki	Ertiga	ZXi	2014	petrol	manual	102927	1	400000
24929078	Bangalore	assured	Honda	City	SV CVT	2014	petrol	automatic	89911	1	395000
24876963	Bangalore	assured	Maruti Suzuki	Celerio	VXi AMT	2014	petrol	automatic	60845	1	296000
24846222	Bangalore	budget	Maruti Suzuki	S-Cross	Delta 1.6	2015	diesel	manual	98449	1	430000
24865571	Chennai	assured	Hyundai	Grand i10	Magna 1.2 Kappa VTVT	2018	petrol	manual	46792	1	345000
16463322	Kochi	budget	Tata	Tiago	Revotron XM	2019	petrol	manual	120304	1	305000
16464351	Ahmedabad	assured	Skoda	Kushaq	Style 1.5L TSI DSG	2021	petrol	automatic	55040	1	1048000
23229754	Pune	assured	Maruti Suzuki	Wagon R 1.0	VXI AMT	2016	petrol	automatic	56766	1	285000
23263411	Delhi	budget	Maruti Suzuki	Baleno	Alpha 1.2	2016	petrol	manual	72373	2	335000
22852966	Bangalore	assured	Hyundai	Creta	1.6L SX VTVT	2019	petrol	manual	58764	1	730000
23177180	Hyderabad	assured	Ford	Figo	Titanium 1.2 Ti-VCT MT	2019	petrol	manual	31224	2	370000
23303325	Kolkata	assured	Tata	Nexon	XZ Plus Diesel	2021	diesel	manual	69619	1	629000
23203097	Pune	assured	Hyundai	Grand i10	Magna 1.2 Kappa VTVT	2017	petrol	manual	20369	1	310000
23786947	Delhi	assured	Honda	WR-V	VX MT Petrol	2018	petrol	manual	50277	1	430000
20106283	Lucknow	assured	Toyota	Innova Crysta	2.7 ZX AT 7 STR	2022	petrol	automatic	36181	1	1685000
19766783	Pune	assured	Toyota	Innova Crysta	2.4 Z 7STR	2016	diesel	manual	69342	1	1365000
13472546	Mumbai	auction	Ford	EcoSport	Titanium 1.5L Ti-VCT	2016	petrol	manual	56014	2	455000
25195121	Coimbatore	auction	Honda	Amaze	1.5 S MT Diesel	2020	diesel	manual	69135	1	580000
25094244	Bangalore	budget	Hyundai	i10	Sportz 1.1 iRDE2	2014	petrol	manual	78459	1	252000
15965676	Delhi	budget	Kia	Seltos	GTX Plus DCT	2020	petrol	automatic	95498	1	1022000
23462859	Bangalore	assured	Hyundai	Verna	SX (O) 1.5 Turbo Petrol DCT	2023	petrol	automatic	50800	1	1301000
23481971	Mumbai	budget	Kia	Seltos	GTX Plus 1.4	2022	petrol	manual	35727	1	1052000
23598488	Pune	assured	Hyundai	Elite i20	Magna Plus 1.4 CRDi	2019	diesel	manual	49814	1	565000
24062860	Lucknow	assured	Toyota	Urban Cruiser	High Grade MT	2022	petrol	manual	41449	1	587000
23798740	Mumbai	assured	Tata	Nexon	XZA Plus Diesel (L)	2022	diesel	automatic	16033	1	914000
24532912	Bangalore	budget	Maruti Suzuki	Ciaz	Zeta 1.3 Hybrid	2018	diesel	manual	54225	1	625000
24546156	Delhi	budget	Maruti Suzuki	Swift	VXi	2013	petrol	manual	40553	1	196000
24579196	Bangalore	assured	Honda	WR-V	VX MT Petrol	2019	petrol	manual	42733	1	545000
24256502	Jaipur	assured	Hyundai	Elite i20	Sportz 1.2	2015	petrol	manual	76468	1	320000
24205880	Bangalore	assured	Tata	Altroz	XZA Plus (S)	2023	petrol	automatic	25619	1	690000
24556452	Lucknow	assured	Honda	WR-V	SV MT Petrol	2021	petrol	manual	21970	1	535000
24298890	Hyderabad	assured	Nissan	Magnite	XV Turbo	2023	petrol	manual	27999	1	595000
24830324	Chennai	budget	Maruti Suzuki	Baleno	Alpha 1.2	2017	petrol	manual	87341	1	425000
24737041	Mumbai	assured	Hyundai	Creta	1.6 SX AT VTVT	2019	petrol	automatic	44982	2	691000
24889445	Chennai	budget	Honda	Amaze	1.2 VX i-VTEC	2014	petrol	manual	99913	1	300000
22151329	Pune	assured	Tata	Tiago	Revotron XZA	2018	petrol	automatic	55111	1	401000
22195685	Delhi	assured	Tata	Punch	Accomplished Dazzle Sunroof CNG	2024	cng	manual	19598	1	740000
21183181	Delhi	budget	Tata	Tiago	Revotron XZA AMT	2018	petrol	automatic	92784	1	316000
25051302	Pune	auction	Maruti Suzuki	Alto K10	VXi	2016	petrol	manual	96543	1	177000
24881559	Hyderabad	auction	Hyundai	Creta	SX 1.5 Petrol	2023	petrol	manual	35135	2	1075000
24890818	Pune	assured	Hyundai	Grand i10 Nios	Sportz AMT 1.2 Kappa VTVT	2020	petrol	automatic	11793	1	488000
24967005	Kolkata	budget	Maruti Suzuki	Alto 800	Lxi	2013	petrol	manual	40927	2	111000
24862023	Lucknow	budget	Maruti Suzuki	Alto 800	Lxi	2016	petrol	manual	32836	2	135000
24775032	Chennai	assured	Maruti Suzuki	Celerio	ZXi	2016	petrol	manual	80570	1	300000
25084245	Chennai	assured	Mahindra	XUV 300	W6 1.2 Petrol AMT	2022	petrol	automatic	44098	1	640000
25049727	Bangalore	auction	Mahindra	XUV700	AX 7 Diesel MT 7 STR	2022	diesel	manual	28098	1	1700000
25045049	Delhi	budget	Hyundai	i10	Magna 1.1 iRDE2	2015	petrol	manual	71728	2	122000
24863131	Pune	budget	Maruti Suzuki	Swift Dzire	VDI	2013	diesel	manual	118231	1	290000
24845957	Kolkata	budget	Maruti Suzuki	Alto 800	Lxi	2014	petrol	manual	69637	2	110000
24776854	Delhi	budget	Honda	Amaze	S CVT 1.2 Petrol	2022	petrol	automatic	42671	2	480000
21865645	Delhi	assured	Maruti Suzuki	S-Cross	Alpha AT	2021	petrol	automatic	47643	1	736000
25159736	Ahmedabad	assured	Hyundai	New i20	Sportz 1.2 MT	2022	petrol	manual	32869	2	447000
20821255	Delhi	luxury	Jaguar	XE	Prestige	2017	petrol	automatic	42604	2	1350000
20506882	Jaipur	assured	Kia	Seltos	GTX Plus DCT	2021	petrol	automatic	73177	1	1098000
22680473	Chandigarh	assured	Hyundai	Aura	S 1.2 CNG	2022	cng	manual	76516	1	470000
22458367	Hyderabad	assured	Maruti Suzuki	Wagon R	VXI	2015	petrol	manual	64625	1	250000
22598941	Jaipur	assured	Hyundai	New i20	Asta (O) 1.2 MT	2022	petrol	manual	48244	1	630500
22806562	Delhi	budget	Honda	WR-V	VX MT Petrol	2017	petrol	manual	79406	2	375000
22539569	Bangalore	assured	Maruti Suzuki	Ertiga	VDi 1.5 Diesel	2020	diesel	manual	54150	1	967000
23242861	Lucknow	assured	Hyundai	Grand i10	Sportz 1.2 Kappa VTVT	2014	petrol	manual	45841	1	240000
23122669	Lucknow	budget	Honda	City	VX CVT	2015	petrol	automatic	91694	2	386000
22868647	Hyderabad	budget	Hyundai	Fluidic Verna 4S	1.6 CRDi SX	2017	diesel	manual	108695	1	525000
23015722	Lucknow	budget	Maruti Suzuki	Dzire	ZXi Plus AGS	2021	petrol	automatic	58224	1	585000
17754495	Mumbai	assured	Hyundai	Venue	SX 1.0 (O) Turbo iMT	2021	petrol	manual	47585	1	780000
17632679	Ahmedabad	assured	Maruti Suzuki	Baleno	Zeta 1.2	2018	petrol	manual	46860	1	450000
24869736	Hyderabad	budget	Maruti Suzuki	Celerio	VXi (O) AMT	2017	petrol	automatic	89561	1	275000
24734126	Delhi	assured	Nissan	Magnite	XV Premium	2021	petrol	manual	49065	1	420000
25010405	Hyderabad	budget	Nissan	Sunny	XL	2012	petrol	manual	73358	2	150000
24918838	Mumbai	budget	Mahindra	KUV100	K2 6 STR	2017	petrol	manual	58898	1	170000
25047485	Pune	budget	Maruti Suzuki	Celerio	ZXi (Opt)	2017	petrol	manual	32662	1	295000
24849242	Chennai	assured	Mahindra	XUV 300	1.5 W8 AMT	2020	diesel	automatic	75962	1	675000
24608698	Hyderabad	budget	Ford	Figo Aspire	Titanium 1.2 Ti-VCT	2016	petrol	manual	113820	1	250000
24590682	Chennai	assured	Maruti Suzuki	Vitara Brezza	ZXi Plus	2022	petrol	manual	43835	1	700000
24303485	Bangalore	budget	Tata	Tiago	Revotorq XZ	2016	diesel	manual	103947	1	311000
24432338	Bangalore	budget	Maruti Suzuki	Baleno	Alpha 1.2	2018	petrol	manual	104547	1	465000
24613039	Jaipur	auction	Ford	EcoSport	Titanium 1.5 TDCi (Opt)	2015	diesel	manual	94253	1	300000
24223765	Coimbatore	budget	Maruti Suzuki	Wagon R 1.0	VXI AMT	2017	petrol	automatic	32244	2	321000
24485677	Delhi	auction	Maruti Suzuki	Swift	VXi	2021	petrol	manual	73615	2	340000
24589414	Ahmedabad	budget	Maruti Suzuki	Swift	Lxi (O)	2017	petrol	manual	81751	1	261000
24602325	Chennai	budget	Hyundai	Elite i20	Sportz 1.2 (O)	2015	petrol	manual	65829	1	375000
25183863	Pune	auction	Tata	Manza	Aura (ABS) Quadrajet BS-III	2010	diesel	manual	81777	3	55000
22689163	Ahmedabad	auction	Hyundai	Verna	SX (O) 1.6 CRDi  AT	2018	diesel	automatic	101929	1	720000
24417626	Delhi	auction	Honda	Brio	VX MT	2014	petrol	manual	59728	3	106000
24224061	Delhi	auction	Maruti Suzuki	Vitara Brezza	ZDi Plus	2016	diesel	manual	117952	1	425000
24620251	Kolkata	assured	Maruti Suzuki	S-Presso	VXi	2024	petrol	manual	15124	1	360000
24291776	Pune	budget	MG Motors	Hector	Sharp 2.0 Diesel	2021	diesel	manual	103888	2	820000
24610629	Delhi	assured	Maruti Suzuki	Swift	ZXi	2022	petrol	manual	19417	1	520000
20888404	Pune	auction	Maruti Suzuki	Alto K10	VXi	2015	petrol	manual	66559	1	193000
22422697	Mumbai	luxury	Audi	A6	35 TFSI Premium Matrix	2016	petrol	automatic	63505	1	1350000
21689911	Bangalore	budget	Hyundai	Xcent	S 1.2	2014	petrol	manual	57818	1	204000
24327696	Mumbai	budget	Maruti Suzuki	Swift	VXi CNG	2022	cng	manual	51410	1	490000
23386143	Hyderabad	budget	Maruti Suzuki	Swift	VXi	2014	petrol	manual	43093	1	291000
23956283	Hyderabad	budget	Maruti Suzuki	Baleno	Zeta Automatic	2021	petrol	automatic	118199	2	443000
23829455	Mumbai	budget	Maruti Suzuki	Wagon R	LXI	2013	petrol	manual	61492	2	178000
23909950	Delhi	assured	Tata	Nexon	XM	2023	petrol	manual	14731	1	568000
22408640	Bangalore	assured	Honda	WR-V	VX MT Diesel	2021	diesel	manual	84018	1	724000
23219054	Coimbatore	budget	Renault	Kwid	CLIMBER 1.0 AMT	2018	petrol	automatic	68491	2	290000
23472634	Delhi	budget	Kia	Seltos	GTX Plus 1.4	2019	petrol	manual	80176	2	825000
23346185	Chandigarh	budget	Hyundai	Alcazar	Prestige 7 STR 1.5 Diesel	2021	diesel	manual	100052	1	945000
23392675	Chandigarh	assured	Tata	Punch	Pure Rhythm Pack MT	2022	petrol	manual	22581	1	458000
23779366	Kochi	budget	Honda	City	ZX CVT Petrol	2017	petrol	automatic	111210	1	550000
23983940	Delhi	assured	Skoda	Slavia	Style 1.5L TSI DSG	2022	petrol	automatic	10359	1	1168500
23885949	Mumbai	budget	Maruti Suzuki	XL6	Alpha AT Petrol	2021	petrol	automatic	106902	1	809000
23960115	Jaipur	assured	Honda	Jazz	S Petrol	2017	petrol	manual	31011	1	325000
21438674	Delhi	budget	Hyundai	i20 Active	1.2 S	2015	petrol	manual	41527	2	290000
21071822	Hyderabad	budget	Renault	Kwid	RXT Opt	2019	petrol	manual	58684	1	241000
24369299	Bangalore	budget	Volkswagen	Ameo	Highline 1.5L AT	2017	diesel	automatic	116982	1	420000
14742653	Pune	auction	Hyundai	Exter	SX 1.2 CNG MT	2024	petrol+cng	manual	398	1	826000
24472055	Mumbai	assured	Maruti Suzuki	Baleno	Zeta 1.2	2016	petrol	manual	34889	1	368000
24436342	Bangalore	budget	Hyundai	Grand i10	Sportz AT 1.2 Kappa VTVT	2014	petrol	automatic	89754	1	336000
24321413	Pune	budget	Volkswagen	Polo	Highline1.2L (P)	2013	petrol	manual	118697	2	220000
24213369	Chennai	budget	Maruti Suzuki	Alto 800	Lxi	2013	petrol	manual	38956	1	176000
24292161	Bangalore	budget	Ford	EcoSport	Titanium 1.0 Ecoboost	2015	petrol	manual	2839	2	385000
24380662	Delhi	budget	Renault	Kwid	RXT	2016	petrol	manual	53032	2	130000
24407211	Pune	assured	Volkswagen	Virtus	GT Plus 1.5 TSI EVO DSG	2023	petrol	automatic	46019	1	1230000
24583660	Pune	budget	Hyundai	Grand i10	Asta AT 1.2 Kappa VTVT	2014	petrol	automatic	46398	2	295000
7065296	Bangalore	auction	Toyota	Etios	V	2012	petrol	manual	23166	1	355000
8590758	Chennai	budget	Hyundai	Santa Fe	2WD AT	2016	diesel	automatic	134574	1	1070000
25081569	Bangalore	assured	Hyundai	Elite i20	Sportz 1.2	2018	petrol	manual	70140	1	491000
23114682	Bangalore	budget	Hyundai	Eon	1.0 Kappa Magna +	2014	petrol	manual	109824	1	180000
23052230	Delhi	budget	Maruti Suzuki	Ciaz	Delta 1.4 MT	2017	petrol	manual	81454	2	335000
23275723	Hyderabad	budget	Maruti Suzuki	Swift	VDi	2017	diesel	manual	109020	2	380000
23102441	Delhi	budget	Maruti Suzuki	Wagon R	VXI	2018	petrol	manual	74606	1	296000
25048923	Delhi	budget	Maruti Suzuki	Ignis	Zeta MT Petrol+cng(outside fitted)	2023	cng	manual	51146	1	399000
24721398	Chennai	assured	Maruti Suzuki	Swift	ZXi	2017	petrol	manual	50842	2	415000
24694327	Bangalore	assured	Hyundai	Santro	Magna	2021	petrol	manual	10493	1	390000
24778268	Chennai	budget	Maruti Suzuki	Alto 800	Vxi Plus	2020	petrol	manual	33136	2	226000
24951888	Pune	budget	Maruti Suzuki	Baleno	Alpha 1.2 AT	2018	petrol	automatic	49666	1	481000
20791562	Delhi	assured	Hyundai	Venue	SX Plus 1.0 Turbo DCT	2019	petrol	automatic	64652	1	600000
23172800	Delhi	luxury	Jeep	Compass	Limited 1.4 Petrol AT	2019	petrol	automatic	59320	2	760000
23236116	Bangalore	assured	Kia	Sonet	GTX Plus 1.5	2022	diesel	manual	41144	1	1083000
18396270	Ahmedabad	assured	Hyundai	Venue	SX 1.0 (O) Turbo iMT	2022	petrol	manual	40314	1	845000
22825048	Coimbatore	budget	Volkswagen	Polo	Highline1.2L (P)	2016	petrol	manual	137600	1	375000
21347296	Hyderabad	budget	Volkswagen	Polo	Highline1.5L (D)	2014	diesel	manual	103446	2	333000
24943768	Lucknow	assured	Toyota	Glanza	V AMT	2022	petrol	automatic	29466	2	532000
25025296	Bangalore	budget	Tata	Tiago	Revotron XT	2018	petrol	manual	67937	2	290000
24925804	Kolkata	budget	Hyundai	Grand i10	Sportz 1.2 Kappa VTVT	2015	petrol	manual	57549	2	195000
24952605	Kolkata	assured	Maruti Suzuki	Celerio	VXi	2016	petrol	manual	36204	1	240000
24727086	Kolkata	budget	Maruti Suzuki	S-Cross	Alpha	2021	petrol	manual	117038	1	534000
24787371	Bangalore	budget	Tata	Nexon	XZ Plus Diesel	2017	diesel	manual	124835	2	465000
21886929	Kolkata	assured	Renault	Triber	RXT	2021	petrol	manual	24636	1	412000
21722505	Hyderabad	assured	Maruti Suzuki	Dzire	ZXi Plus AMT	2019	petrol	automatic	34237	1	585000
25110786	Pune	budget	Honda	City	1.5 V MT Sunroof	2012	petrol	manual	59255	1	280000
22283036	Pune	assured	Kia	Sonet	GTX Plus 1.0 iMT	2020	petrol	manual	56692	1	703000
21173069	Hyderabad	auction	Tata	Tigor	Revotron XZ+	2021	petrol	manual	52888	1	490235
24977084	Mumbai	assured	Renault	Kwid	1.0 RXT AMT Opt	2018	petrol	automatic	37405	1	230000
17883052	Bangalore	assured	Tata	Nexon	XMA AMT Diesel	2019	diesel	automatic	50906	1	408000
24800361	Ahmedabad	budget	Maruti Suzuki	Alto 800	LXI CNG (outside fitted)	2016	cng	manual	72179	2	140000
24838060	Mumbai	budget	Maruti Suzuki	Ciaz	ZXI+	2016	petrol	manual	87112	2	330000
23744503	Ahmedabad	budget	Maruti Suzuki	Ciaz	Zeta 1.3 Hybrid	2017	diesel	manual	105690	2	420000
23465134	Mumbai	assured	MG Motors	Astor	Savvy 1.5 CVT S Red	2022	petrol	automatic	38472	2	870000
23619409	Bangalore	budget	Nissan	Micra	XV Diesel	2012	diesel	manual	63655	2	205000
23802891	Chennai	assured	Maruti Suzuki	Swift	ZXi	2015	petrol	manual	82857	1	395000
23820050	Delhi	budget	Honda	WR-V	VX MT Petrol	2018	petrol	manual	85606	1	380000
24023918	Delhi	assured	Skoda	Octavia	Style 2.0	2022	petrol	automatic	31664	2	1553000
24380171	Pune	budget	Tata	Zest	XMS Petrol	2014	petrol	manual	87510	1	200000
24377172	Delhi	assured	Tata	Safari	Kaziranga XZA Plus	2022	diesel	automatic	71789	1	1151000
24269882	Bangalore	budget	Maruti Suzuki	Baleno	Alpha 1.2	2015	petrol	manual	96150	1	415000
24377689	Ahmedabad	budget	Hyundai	Grand i10	Asta AT 1.2 Kappa VTVT	2015	petrol	automatic	68042	2	300000
22224264	Delhi	assured	Maruti Suzuki	S-Cross	Alpha AT	2022	petrol	automatic	61491	1	731000
20736655	Kolkata	budget	Skoda	Rapid	Style 1.5 TDI	2018	diesel	manual	107244	1	400000
8722072	Bangalore	auction	Hyundai	Grand i10 Nios	Asta 1.2 Kappa VTVT	2019	petrol	manual	72094	2	544661
20404018	Chandigarh	assured	Hyundai	Venue	SX 1.2 Petrol	2023	petrol	manual	6996	1	866000
21781042	Pune	budget	Maruti Suzuki	Wagon R 1.0	LXI CNG	2017	petrol+cng	manual	49940	2	320000
20715259	Delhi	assured	Honda	City	VX Petrol	2022	petrol	manual	66853	1	813000
20235540	Delhi	assured	Hyundai	Elite i20	Sportz 1.2	2016	petrol	manual	72751	1	312000
17152497	Hyderabad	budget	Maruti Suzuki	Vitara Brezza	ZDi	2017	diesel	manual	96313	1	628000
21431327	Hyderabad	assured	Mahindra	Thar	AX Convertible Petrol MT 4WD	2021	petrol	manual	46785	1	910000
24987608	Hyderabad	assured	Hyundai	Aura	S 1.2 Petrol	2022	petrol	manual	13601	1	528000
24918835	Bangalore	assured	Maruti Suzuki	S-Presso	VXi Plus (O) AMT	2022	petrol	automatic	22134	1	400000
14673027	Delhi	auction	Tata	Altroz	XZ 1.5	2021	diesel	manual	23942	1	635000
24556811	Kochi	assured	Hyundai	Grand i10	Magna 1.2 Kappa VTVT	2015	petrol	manual	60368	1	260000
24381335	Chennai	assured	Volkswagen	Polo	Highline1.2L (P)	2013	petrol	manual	87021	2	255000
24232086	Mumbai	luxury	Jeep	Compass	Model S (O) Diesel 4x4 AT	2021	diesel	automatic	74492	1	1
24524516	Visakhapatnam	budget	Kia	Seltos	HTX Plus AT 1.5 Diesel	2019	diesel	automatic	117453	2	800000
23345589	Delhi	assured	Mahindra	Thar	LX Hard Top Petrol MT 4WD	2022	petrol	manual	32569	1	1045000
23718920	Chandigarh	budget	Maruti Suzuki	Alto K10	VXi	2015	petrol	manual	66384	3	165000
23376424	Lucknow	assured	Maruti Suzuki	Wagon R 1.2	ZXi 1.2 AMT	2019	petrol	automatic	80812	1	310000
24380261	Hyderabad	assured	Volkswagen	Virtus	Highline 1.0 TSI AT	2023	petrol	automatic	17693	1	1100000
23369018	Chennai	assured	Maruti Suzuki	Brezza	ZXi Plus	2023	petrol	manual	35910	1	1008000
23516436	Delhi	budget	Tata	Altroz	XZ Diesel	2023	diesel	manual	26347	1	581000
23321559	Pune	budget	Maruti Suzuki	Dzire	VXi AMT	2018	petrol	automatic	36827	2	480000
23736873	Hyderabad	assured	Hyundai	Venue	SX 1.0 Turbo	2021	petrol	manual	16959	1	700000
23774687	Jaipur	budget	Honda	Amaze	VX MT 1.5 Diesel	2022	diesel	manual	106929	1	597000
23971320	Pune	assured	Mahindra	Thar	LX Convertible Diesel AT 4WD	2022	diesel	automatic	35246	1	1201000
24137014	Hyderabad	budget	Maruti Suzuki	Swift Dzire	ZXI	2017	petrol	manual	54342	1	427000
24130251	Pune	assured	Tata	Tiago	Revotron XZ	2016	petrol	manual	35369	2	282000
23785978	Hyderabad	assured	Hyundai	Creta	SX (O) AT Diesel	2021	diesel	automatic	47885	1	1367000
24121853	Chandigarh	assured	Maruti Suzuki	XL6	Zeta MT Petrol	2024	petrol	manual	44518	1	815000
23443109	Chennai	assured	Volkswagen	Virtus	Topline 1.0 TSI AT	2023	petrol	automatic	26063	1	1263000
