Lead	City	Current Category	Make	Model	Variant	Make Year	Fuel Type	Transmission Type	Mileage	Ownership	Procurement Price
24785565	Mumbai	budget	Honda	Amaze	1.2 S AT i-VTEC	2013	petrol	automatic	43821	3	205000
24648730	Chennai	auction	Skoda	Octavia	1.8 TSI L&K	2019	petrol	automatic	23532	1	1270000
24993485	Indore	auction	Hyundai	Venue	SX 1.2 Petrol	2024	petrol	manual	9722	1	745000
24975840	Bangalore	auction	Volkswagen	Vento	Highline Petrol	2012	petrol	manual	62758	2	170000
24999503	Delhi	auction	Tata	Zest	XE 75 PS Diesel	2019	diesel	manual	21095	1	151000
18814243	Bangalore	auction	Ford	Figo	Duratec Petrol LXI 1.2	2011	petrol	manual	51018	2	163000
23167222	Ahmedabad	budget	Kia	Seltos	GTX Plus DCT 1.4	2019	petrol	automatic	88165	1	775000
23304461	Chennai	assured	Nissan	Magnite	XV Premium	2024	petrol	manual	18358	1	700000
23177529	Ahmedabad	assured	Maruti Suzuki	Swift	ZXi AMT	2020	petrol	automatic	34832	1	550000
23253263	Delhi	budget	Hyundai	New Santro 1.1	Sportz Executive CNG	2021	petrol+cng	manual	113596	1	335000
18657184	Kolkata	budget	Volkswagen	Ameo	Highline1.2L (P)	2016	petrol	manual	53900	3	193000
23337642	Delhi	assured	Kia	Seltos	GTX Plus DCT 1.4	2019	petrol	automatic	73276	1	935000
23348152	Chennai	assured	Maruti Suzuki	XL6	Alpha AT Petrol	2022	petrol	automatic	69493	1	1000000
23665968	Pune	assured	Hyundai	New i20	Asta (O) 1.2 MT Petrol + CNG (Outside Fitted)	2023	cng	manual	40980	1	655000
23425259	Chandigarh	assured	Hyundai	Verna	SX (O) 1.5 Petrol IVT	2023	petrol	automatic	30507	1	1111000
23468901	Hyderabad	assured	Hyundai	Venue	SX (O) 1.5 CRDi Executive	2022	diesel	manual	64858	1	900000
24054665	Chennai	budget	Hyundai	Grand i10	Sportz 1.1 CRDi	2015	diesel	manual	107876	1	263000
24259723	Kolkata	assured	Hyundai	Grand i10	Sportz 1.2 Kappa VTVT	2015	petrol	manual	72988	1	190000
23617483	Hyderabad	budget	Hyundai	Grand i10	Asta 1.2 Kappa VTVT	2016	petrol	manual	78288	2	332000
23618790	Delhi	budget	Hyundai	Grand i10 Nios	Sportz AMT 1.2 Kappa VTVT	2022	petrol	automatic	36616	1	490000
23683677	Pune	assured	Volkswagen	Taigun	Highline 1.0 TSI MT	2022	petrol	manual	25270	2	800000
23425892	Hyderabad	assured	Mahindra	XUV700	AX 7 Petrol AT Luxury Pack 7 STR	2023	petrol	automatic	26755	1	1856000
24104901	Bangalore	assured	Renault	Kiger	RXZ Turbo MT Dual Tone	2023	petrol	manual	26359	1	636000
23766961	Hyderabad	auction	Renault	Kwid	1.0 RXT AMT	2016	petrol	automatic	81672	3	205000
23962722	Delhi	budget	Tata	Tiago	Revotron XZ	2019	petrol	manual	66238	1	292000
23763712	Chennai	assured	Hyundai	Venue	S (O) 1.0 Turbo DCT	2023	petrol	automatic	41090	1	811000
23445981	Kochi	budget	Hyundai	Verna	Fluidic 1.6 CRDi SX	2013	diesel	manual	105545	1	310000
23824686	Ahmedabad	budget	Honda	Amaze	1.2 S i-VTEC CNG (Outside Fitted)	2016	cng	manual	82566	2	248000
24074014	Kolkata	assured	Honda	Amaze	Elite Edition MT	2023	petrol	manual	25989	1	557000
24177197	Hyderabad	budget	Hyundai	i20	Sportz 1.4 CRDI	2012	diesel	manual	97051	2	188000
23783571	Mumbai	budget	Hyundai	Xcent	S 1.2 (O)	2014	petrol	manual	89244	2	210000
23895663	Chennai	assured	Volkswagen	Ameo	Highline1.2L (P)	2016	petrol	manual	82179	1	346000
23940701	Pune	assured	Ford	Figo	Trend 1.2 Ti-VCT	2015	petrol	manual	53393	1	250000
20752888	Delhi	assured	Kia	Seltos	HTX+ G1.5 T-GDI Petrol IMT	2023	petrol	manual	11795	1	1309000
20182200	Delhi	budget	Hyundai	Elite i20	Sportz 1.2	2017	petrol	manual	49383	2	350000
23707139	Delhi	budget	Maruti Suzuki	Celerio	ZXi AMT	2016	petrol	automatic	89527	2	233000
23994904	Kolkata	assured	Hyundai	Aura	SX 1.2 Petrol	2024	petrol	manual	18845	1	552000
24155320	Lucknow	assured	Maruti Suzuki	Swift Dzire	ZXI	2015	petrol	manual	82072	1	275000
23883941	Kochi	assured	Kia	Seltos	HTK 1.5	2020	petrol	manual	58776	1	640000
23847422	Hyderabad	budget	Renault	Triber	RXZ EASY-R AMT	2023	petrol	automatic	15716	3	520000
24105314	Chandigarh	budget	Honda	Amaze	VX MT 1.2 Petrol	2022	petrol	manual	36055	1	546000
24069777	Delhi	assured	Hyundai	Elite i20	Sportz Plus 1.2	2020	petrol	manual	42716	1	459000
22910958	Ahmedabad	budget	Honda	CR-V	2.0L 2WD AT	2017	petrol	automatic	114633	2	613000
22956123	Coimbatore	assured	Volkswagen	Virtus	Topline 1.0 TSI AT	2022	petrol	automatic	73954	1	1100000
23214614	Hyderabad	assured	Hyundai	Creta	1.6 SX OPT VTVT	2018	petrol	manual	50473	1	820000
19586307	Chandigarh	assured	Kia	Seltos	GTX Plus	2019	petrol	manual	71382	1	900000
20045192	Delhi	assured	Tata	Nexon	XZ Plus (O)	2021	petrol	manual	50222	1	680000
21943945	Delhi	budget	Ford	EcoSport	Titanium + 1.5L Ti-VCT	2020	petrol	manual	90529	1	495000
20775501	Hyderabad	budget	Hyundai	i10	Sportz 1.2 Kappa2	2011	petrol	manual	66373	1	160000
23439787	Delhi	budget	Hyundai	Verna	SX 1.5 Petrol IVT	2023	petrol	automatic	32958	1	975000
23733030	Chennai	assured	Hyundai	Creta	SX OPT Turbo DCT Petrol	2022	petrol	automatic	12465	1	1334000
22730456	Bangalore	assured	Kia	Sonet	GTX Plus 1.5 AT	2021	diesel	automatic	39406	1	1094000
22657368	Coimbatore	assured	Hyundai	Creta	SX 1.5 Petrol	2023	petrol	manual	34609	1	1210000
18875161	Coimbatore	assured	Maruti Suzuki	Dzire	ZXi Plus AMT	2017	petrol	automatic	63784	1	505000
18506157	Hyderabad	budget	Hyundai	i20	Sportz 1.2	2011	petrol	manual	67443	3	170000
19265478	Bangalore	auction	Hyundai	Verna	Fluidic 1.6 VTVT SX Opt AT	2012	petrol	automatic	48860	2	412000
21643804	Hyderabad	budget	Tata	Altroz	XZ 1.2	2020	petrol	manual	25949	2	515000
21569186	Mumbai	auction	Skoda	Kodiaq	Style 2.0 TDI 4x4 AT	2018	diesel	automatic	113205	1	1350000
25138887	Chennai	auction	Maruti Suzuki	Alto	LXi BS-III	2008	petrol	manual	92198	1	110000
21174744	Hyderabad	budget	Tata	Altroz	XZ 1.2	2022	petrol	manual	95853	1	508000
24718787	Hyderabad	budget	Hyundai	Eon	Era +	2016	petrol	manual	43795	2	165000
24769854	Bangalore	assured	Tata	Tiago	Revotron XZ	2017	petrol	manual	11383	1	350000
24948059	Delhi	budget	Maruti Suzuki	Celerio	VXi	2016	petrol	manual	54847	2	198000
25024265	Chennai	budget	Honda	Brio	VX MT	2015	petrol	manual	30218	1	290000
24348203	Bangalore	budget	Maruti Suzuki	Swift Dzire	LXI	2013	petrol	manual	134722	1	181000
24262799	Ahmedabad	budget	Tata	Tiago	Revotron XT	2018	petrol	manual	103098	1	226000
24374855	Bangalore	budget	Maruti Suzuki	Celerio X	Zxi AMT	2018	petrol	automatic	82716	2	332000
24499223	Delhi	budget	Honda	WR-V	S MT Petrol	2017	petrol	manual	102096	1	300000
24276504	Bangalore	budget	Hyundai	Verna	SX (O) 1.6 CRDi	2017	diesel	manual	101159	1	671000
24598004	Lucknow	assured	Maruti Suzuki	Dzire	ZXi Plus	2017	petrol	manual	80674	1	375000
21311455	Delhi	budget	Renault	Duster	RXS CVT	2018	petrol	automatic	61114	2	400000
24842721	Hyderabad	assured	Hyundai	Grand i10	Asta 1.2 Kappa VTVT	2016	petrol	manual	33203	1	351000
24648677	Mumbai	assured	Volkswagen	Virtus	GT Plus 1.5 TSI EVO DSG	2022	petrol	automatic	13538	1	1255000
24890461	Bangalore	budget	Maruti Suzuki	Baleno	Delta	2019	petrol	manual	102882	1	420000
24919710	Pune	assured	Tata	Altroz	XZ Petrol	2021	petrol	manual	82439	1	475000
24920835	Mumbai	assured	Hyundai	Aura	S 1.2 CNG	2021	cng	manual	62297	1	451000
22786497	Mumbai	budget	Honda	City	SV CVT	2015	petrol	automatic	83467	2	320000
23132091	Delhi	assured	Kia	Sonet	GTX Plus 1.0 DCT	2023	petrol	automatic	24503	1	1015000
22925932	Delhi	budget	Renault	Triber	RXZ	2021	petrol	manual	39347	1	410000
25159786	Delhi	budget	Nissan	Magnite	XE	2023	petrol	manual	45617	1	355000
24914304	Hyderabad	budget	Renault	Kwid	1.0 RXT	2016	petrol	manual	107448	1	191200
24814884	Bangalore	budget	Maruti Suzuki	Swift	VXi	2017	petrol	manual	30506	1	431000
24988389	Delhi	budget	Hyundai	Grand i10	Magna 1.2 Kappa VTVT	2017	petrol	manual	36594	1	268000
24971154	Hyderabad	budget	Maruti Suzuki	Swift	VDi	2013	diesel	manual	63767	1	305000
15431788	Delhi	auction	Renault	Duster	85 PS RxL Diesel	2015	diesel	manual	122420	1	250000
22288132	Ahmedabad	budget	Maruti Suzuki	Alto K10	VXi	2022	petrol	manual	38718	1	340000
22312979	Delhi	auction	Hyundai	i20	Sportz 1.2	2012	petrol	manual	53646	1	130000
24567323	Hyderabad	assured	Tata	Punch	Adventure Rhythm Pack MT	2022	petrol	manual	33454	1	467000
24577681	Lucknow	assured	Hyundai	Eon	Sportz	2018	petrol	manual	33126	1	230000
24528490	Hyderabad	budget	Ford	Figo	Duratorq Diesel ZXI 1.4	2013	diesel	manual	115557	1	140000
24255284	Chandigarh	assured	Maruti Suzuki	S-Presso	Vxi Plus	2022	petrol	manual	12595	1	315000
24395334	Delhi	assured	MG Motors	Hector	Savvy Pro 1.5 Turbo CVT	2023	petrol	automatic	33301	1	1260000
24250610	Delhi	assured	Kia	Seltos	HTX IVT 1.5	2020	petrol	automatic	65590	1	799000
21647045	Hyderabad	assured	Maruti Suzuki	Wagon R 1.0	VXI AMT	2017	petrol	automatic	84652	1	290000
25155501	Chennai	budget	Tata	Zest	XE Petrol	2016	petrol	manual	40772	2	226000
22819068	Delhi	assured	Kia	Sonet	HTX 1.0 iMT	2021	petrol	manual	38514	2	625500
24733356	Pune	budget	Hyundai	Verna	Fluidic 1.4 VTVT CX	2014	petrol	manual	69471	2	256000
24342111	Lucknow	budget	Hyundai	Eon	Era +	2016	petrol	manual	51228	1	150000
24454478	Pune	assured	Hyundai	Santro	Asta	2020	petrol	manual	16824	1	364000
24494660	Delhi	budget	Honda	CR-V	2.4L 2WD	2016	petrol	automatic	110418	1	430000
24947940	Delhi	assured	Tata	Punch	Adventure Rhythm iCNG	2024	cng	manual	29189	1	550000
16052538	Delhi	budget	Honda	Brio	S MT	2012	petrol	manual	65223	1	165000
22711073	Ahmedabad	budget	Hyundai	i10	Sportz 1.1 iRDE2	2014	petrol	manual	80303	1	195000
22470293	Kolkata	assured	Honda	City	ZX Petrol	2021	petrol	manual	35415	1	770000
22235875	Kochi	budget	Honda	Amaze	1.2 VX i-VTEC	2015	petrol	manual	64729	2	325000
24938160	Hyderabad	assured	Tata	Altroz	XZ Plus i-Turbo Petrol	2021	petrol	manual	68245	1	522000
24634453	Kolkata	assured	Hyundai	Grand i10	Magna 1.2 Kappa VTVT	2016	petrol	manual	19817	1	255000
24909129	Kolkata	budget	Maruti Suzuki	Celerio	ZXi AMT	2018	petrol	automatic	13127	2	290000
24732522	Pune	budget	Hyundai	Xcent	SX 1.2 (O)	2014	petrol	manual	90783	1	291000
22933834	Delhi	assured	Maruti Suzuki	Baleno	Zeta	2021	petrol	manual	35037	1	510000
24385769	Pune	assured	Hyundai	Grand i10	Sportz (O) 1.2 Kappa VTVT	2017	petrol	manual	19319	1	385000
24544797	Delhi	budget	Honda	BR-V	VX Petrol	2016	petrol	manual	123969	1	390000
24236155	Chennai	budget	Maruti Suzuki	Alto 800	LXi	2018	petrol	manual	32355	3	176000
24257878	Delhi	assured	Maruti Suzuki	Alto 800	LXi	2018	petrol	manual	51855	1	176000
21758996	Jaipur	assured	Toyota	Glanza	V AMT	2023	petrol	automatic	14531	1	820000
21907414	Delhi	budget	Tata	Tiago	Revotron XT	2018	petrol	manual	90270	1	260000
21526779	Delhi	assured	Hyundai	Venue	SX 1.2 Petrol	2022	petrol	manual	28153	1	780000
23876842	Hyderabad	budget	Maruti Suzuki	Swift	VXi 1.2 BS-IV	2011	petrol	manual	113618	2	150000
23762814	Mumbai	assured	Tata	Tiago	XZ Plus	2022	petrol	manual	31250	1	448000
23596038	Lucknow	budget	Maruti Suzuki	Alto K10	VXi	2015	petrol	manual	59046	1	185000
23488759	Bangalore	assured	Renault	Triber	RXZ EASY-R AMT	2022	petrol	automatic	25263	1	600000
23661706	Bangalore	assured	Maruti Suzuki	Swift	ZXi AMT	2019	petrol	automatic	77226	1	505000
